tanth          M1coeff        M2coeff        lam1           lam2           lam3           lam4           lam5           m3             m5             mH             vDelta         vphi           mu2sq          mu3sq          
0.00631        8.6683         -1.65096       0.03237        0.38855        0.14573        0.3143         0.35485        500.09831      521.14252      489.23694      0.54891        246.21511      -7843.11692    213728.19741   
0.00105        1.15097        -18.60854      0.03235        0.90983        0.27261        -0.04769       2.04858        502.29604      613.57488      436.13632      0.09171        246.21986      -7843.8158     204072.09688   
0.00309        3.1453         -28.62965      0.03235        0.5273         -0.59408       0.66401        -0.8457        389.69455      317.01469      421.35782      0.26857        246.21883      -7843.0965     62245.35656    
0.00316        8.22253        -2.81642       0.03235        0.55784        -0.00312       0.16164        -2.4973        614.84823      476.05648      673.60163      0.27466        246.21877      -7842.15018    234695.40397   
0.00394        5.68028        18.17523       0.03235        1.18518        -0.44372       0.46619        1.61125        547.85976      630.79263      501.27206      0.34257        246.21809      -7843.20738    205323.09802   
0.00682        16.28405       10.13886       0.03241        1.46494        0.10925        -0.00139       3.12042        714.56391      836.54935      644.97416      0.59325        246.21428      -7844.99724    427582.40094   
0.00999        23.39235       4.58722        0.03238        0.71513        0.55149        -0.09776       -1.81687       593.66679      492.26094      638.33171      0.87           246.2077       -7829.11215    210660.66196   
0.00287        8.27296        19.69996       0.03236        0.34064        0.0936         0.3968         -0.75806       691.53408      657.50905      707.93298      0.25017        246.21898      -7843.13316    413964.67033   
0.00062        1.45622        -4.49417       0.03235        0.57332        -0.4313        0.62324        0.3512         649.15425      665.3491       640.90338      0.05373        246.21995      -7843.76583    362531.03341   
0.00845        1.38876        -26.21828      0.03235        0.65496        0.35674        0.21683        0.9324         238.45602      336.37664      169.45973      0.73599        246.2112       -7842.99578    5592.97941     
0.00202        1.23929        -21.08889      0.03235        0.5619         0.14045        0.3516         0.1731         335.12353      350.36692      327.23534      0.17544        246.2195       -7843.62432    49402.68885    
0.01126        18.45016       2.13739        0.03238        1.22623        -0.51437       0.53421        0.19166        539.56544      550.21171      534.13142      0.98006        246.2044       -7830.92252    148251.44416   
0.00233        2.27011        -3.53481       0.03235        0.36762        0.16901        0.27265        0.74896        438.93694      487.91493      412.2721       0.20243        246.21933      -7843.85708    170789.43699   
0.00892        21.73527       -23.21653      0.03239        1.7932         -0.22207       0.25222        0.99338        674.2061       717.29952      651.56746      0.77613        246.21021      -7833.57677    267111.74376   
0.00706        12.64752       11.29373       0.03237        1.01272        1.05825        -0.29693       -0.02126       557.99762      556.90527      558.53202      0.61437        246.21387      -7838.89633    187958.06148   
0.00935        15.5424        27.26268       0.03239        0.34752        0.8454         -0.02342       -0.78489       515.48513      467.3255       537.94186      0.81364        246.20925      -7837.3075     199910.49767   
